Group Name,Proposal,Funding Organization,Submitted On,Duration,Received Project,CDAC Outlay,Value of Proposal(Total Outlay),str_category_name
Health Informatics - II,Check HOD and PI Mapping,AIIMS Bathinda,20/02/2024,11 months,Yes,₹ 7.00Lakhs,₹ 7.00Lakhs,Independent
e-Governance,test HOD and PI Mapping,AIIMS Bathinda,20/02/2024,11 months,Yes,₹ 6.00Lakhs,₹ 6.00Lakhs,Funded by Parent Ministry- Meity
e-Governance,test HOD and PI Mapping 1,AIIMS Bhubaneswar,20/02/2024,11 months,Yes,₹ 4.00Lakhs,₹ 4.00Lakhs,Business Project
Health Informatics - II,test proposal,AIIMS Bathinda,20/02/2024,6 months,Yes,₹ 1.00Lakhs,₹ 10.00Lakhs,Funded by X
Health Informatics - II,test HOD and PI Mapping 2,AIIMS Bathinda,20/02/2024,11 months,Yes,₹ 4.00Lakhs,₹ 4.00Lakhs,Funded by X
Health Informatics - I,test HOD and PI Mapping 4,AIIMS Bathinda,20/02/2024,11 months,Yes,₹ 5.00Lakhs,₹ 5.00Lakhs,Business Project
Health Informatics - II,test HOD and PI mapping 5,AIIMS Bathinda,20/02/2024,11 months,Yes,₹ 6.00Lakhs,₹ 6.00Lakhs,Business Project
Health Informatics - II,test proposal display,AIIMS Bathinda,20/02/2024,11 months,No,₹ 0.60Lakhs,₹ 0.70Lakhs,Funded by X
Health Informatics - II,test proposal display 2,AIIMS Bathinda,20/02/2024,11 months,No,₹ 6.00Lakhs,₹ 6.00Lakhs,Funded by Parent Ministry- Meity
Health Informatics - II,test HOD and PI Mapping 7,AIIMS Bathinda,20/02/2024,11 months,Yes,₹ 0.00Lakhs,₹ 0.00Lakhs,Funded by X
Health Informatics - II,test proposal from PI,AIIMS Bathinda,20/02/2024,11 months,No,₹ 6.00Lakhs,₹ 6.00Lakhs,Funded by Parent Ministry- Meity
Health Informatics - II,test proposal code 3,AIIMS Bathinda,16/02/2024,11 months,No,₹ 4.00Lakhs,₹ 4.00Lakhs,Business Project
Health Informatics - II,test proposal code 5,AIIMS Bathinda,16/02/2024,11 months,No,₹ 6.00Lakhs,₹ 6.00Lakhs,Business Project
Health Informatics - II,test proposal code 2,AIIMS Bathinda,15/02/2024,11 months,No,₹ 5.00Lakhs,₹ 5.00Lakhs,Business Project
